區,藥局名稱,地址,電話,負責人,健保特約,類型,品牌
信義區,光成藥局,臺北市信義區光復南路４５７號之３,02-2758-7069,陳榮輝,Y,獨立,
信義區,光點信義松仁藥局,臺北市信義區松仁路160號1樓,02-2758-1850,郭志宏,Y,獨立,
信義區,力康藥局,臺北市信義區吳興街１６６－１號１樓,02-2737-5368,黃麗玉,N,獨立,
信義區,博亞藥局,臺北市信義區莊敬路462號,02-2758-0506,張文凱,Y,獨立,
信義區,合生光復藥局,臺北市信義區光復南路447號1樓,02-2758-2932,陳姵蓉,Y,獨立,
信義區,吳興藥局,臺北市信義區吳興街二七九號一樓,02-2720-8328,陳厚吉,Y,獨立,
信義區,喜樂藥局,臺北市信義區松德路125號,02-2727-5797、0918-383-566,王漢鵬,Y,獨立,
信義區,壹間藥師藥局,臺北市信義區虎林街120巷148號,02-2767-2833,江郁萱,Y,獨立,
信義區,大浲藥局,臺北市信義區忠孝東路5段372巷27弄18號,02-8789-6835,杜華鸞,N,獨立,
信義區,大順安藥局,臺北市信義區吳興街８４號,02-2736-0639,林宗德,Y,獨立,
信義區,大鳥藥局,臺北市信義區莊敬路354號,,鍾秀莉,Y,獨立,
信義區,天康文豐藥局,臺北市信義區松山路543之1號(1樓),02-2820-0106,廖學信,Y,獨立,
信義區,好康藥局,臺北市信義區莊敬路414號,02-2723-2979,陳芳如,Y,獨立,
信義區,安佑藥局,臺北市信義區吳興街247號1樓,02-2722-2236,陳怡如,Y,獨立,
信義區,富凱藥師藥局,臺北市信義區林口街18號1樓,02-2728-2685,潘柏凱,Y,獨立,
信義區,富熙藥局,臺北市信義區松仁路260號1樓,02-2758-7608,馬語均,Y,獨立,
信義區,寶春藥局,臺北市信義區虎林街119之19號1樓,,陳郭俊廷,Y,獨立,
信義區,小熊藥局,臺北市信義區虎林街57之1號1樓,02-2749-5833,李明聰,Y,獨立,
信義區,尚頤中西藥局,臺北市信義區虎林街145號,,蘇秀蓉,Y,獨立,
信義區,市政藥局,臺北市信義區忠孝東路5段169號1樓、171號1樓,02-2756-0050,林杰駖,Y,獨立,
信義區,康怡健保藥局,臺北市信義區吳興街467巷2弄18號1樓,02-2720-6193,周本正,Y,獨立,
信義區,康杏藥局,臺北市信義區福德街306號1樓,02-2759-1510,周廷瑜,Y,獨立,
信義區,康楊藥局,臺北市信義區忠孝東路5段412之1號(1樓),,陳存洋,Y,獨立,
信義區,德康大藥局,臺北市信義區松山路五四一巷二十一號,02-2727-2502,陳文州,Y,獨立,
信義區,必欣藥局,臺北市信義區松仁路２６４號,02-2722-5060,張維兆,Y,獨立,
信義區,愛維喜藥局,臺北市信義區莊敬路278號,02-2758-6989,廖慧雪,Y,獨立,
信義區,慧生藥局,臺北市信義區松山路３１０號,02-2764-7138,許任雄,Y,獨立,
信義區,文興藥局,臺北市信義區福德街245號,02-2759-0989,郭家興,Y,獨立,
信義區,新和平藥局,臺北市信義區虎林街一九八號一樓,02-2346-0951,林日秋,Y,獨立,
信義區,新永春藥局,臺北市信義區忠孝東路5段423巷1號,,賴正敏,Y,獨立,
信義區,新興健保藥局,臺北市信義區永吉路30巷113號,02-2749-4892,陳卉方,Y,獨立,
信義區,日安藥局,臺北市信義區松仁路240巷13號1樓,02-2720-3775,郭琮傑,Y,獨立,
信義區,日新藥局,臺北市信義區永吉路30巷148弄4號1樓,,鍾輝章,Y,獨立,
信義區,昆陽藥局,臺北市信義區林口街230號,02-2727-4814,吳念恭,Y,獨立,
信義區,昱芯中西藥局,臺北市信義區中坡南路86號1樓,,許家瑋,Y,獨立,
信義區,杏仁藥局,臺北市信義區大道路１３５號,02-2726-2541,簡志穎,Y,獨立,
信義區,杏康藥局,臺北市信義區忠孝東路五段３７２巷２７弄６８－２號１樓,02-2345-7422,陳淑娟,Y,獨立,
信義區,松山大藥局,臺北市信義區永吉路４３６號,02-2760-0097,張漢城,Y,獨立,
信義區,松美藥局,臺北市信義區市民大道6段320號(1樓),02-2765-1099,江新平,Y,獨立,
信義區,松隆藥局,臺北市信義區虎林街65號,02-2768-4033,施泰隆,Y,獨立,
信義區,柏愛藥局,臺北市信義區基隆路2段131之20號1樓,02-2732-5472,林淵鐸,Y,獨立,
信義區,榮泰藥局,臺北市信義區光復南路419巷117號1樓,02-7729-6777,林幸穎,Y,獨立,
信義區,正和藥局,臺北市信義區吳興街225巷6號,02-2345-5186,王書藝,Y,獨立,
信義區,永吉藥局,臺北市信義區永吉路213號,02-8787-4043,蔡芳曄,Y,獨立,
信義區,永樂藥局,臺北市信義區忠孝東路5段372巷27弄64號1樓,02-2345-6772,蔡篤育,N,獨立,
信義區,洪暘藥局,臺北市信義區富陽街86號,02-2733-7099,張之浩,Y,獨立,
信義區,濟生中西藥局,臺北市信義區崇德街41號,02-2735-8452,劉佳俞,Y,獨立,
信義區,皇佳大藥局,臺北市信義區松山路541巷25號1樓、27號1樓,02-2726-2555,鍾文雅,Y,獨立,
信義區,皇昇大藥局,臺北市信義區松山路210號,02-2766-3886,洪榮隆,Y,獨立,
信義區,福華藥局,臺北市信義區吳興街２８１巷３號１樓,02-2720-8527,孫世億,Y,獨立,
信義區,立信藥局,臺北市信義區松山路４０３號１樓,02-2768-7754,陳武雄,Y,獨立,
信義區,立赫北醫藥局,臺北市信義區吳興街118巷26弄17號,02-2732-0100,龍正軒,Y,獨立,
信義區,綠杏大藥局,臺北市信義區吳興街241號,02-2758-2378,曾光洵,Y,獨立,
信義區,老上德藥局,臺北市信義區信義路六段１１８號,02-2727-3864,陳義宗,N,獨立,
信義區,臺陽藥局,臺北市信義區大道路６１號,02-2728-3403,簡有寬,Y,獨立,
信義區,良美藥局,臺北市信義區福德街268巷37號,02-2759-3659,黃允美,Y,獨立,
信義區,荐荃藥師藥局,臺北市信義區虎林街68之3號,02-2749-2866,洪鈴芳,Y,獨立,
信義區,華泰藥局,臺北市信義區虎林街八十二巷五號,02-2760-1992,蘇清哲,Y,獨立,
信義區,藥幸福藥局,臺北市信義區吳興街74號1樓,02-2377-8777,陳真慧,Y,獨立,
信義區,詠晴中西藥局,臺北市信義區松山路484之4號1樓(含夾層),02-2726-6890,陳偉欽,Y,獨立,
信義區,誠恩藥局,臺北市信義區永吉路30巷148弄4之1號(1樓),02-2747-4992,林士文,Y,獨立,
信義區,貴臨藥局,臺北市信義區永吉路326巷19號,02-2749-3768,沈秀珠,Y,獨立,
信義區,馨馨藥局,臺北市信義區虎林街82巷19號,,李昭昌,Y,獨立,
信義區,鴻濟藥局,臺北市信義區永吉路326巷2號1樓,02-2764-5331,陳佳慧,Y,獨立,
信義區,麗中藥局,臺北市信義區福德街217號,02-2759-4416,易麗珍,Y,獨立,
信義區,鼎泰藥局,臺北市信義區基隆路一段１５５號１樓,02-2762-0617,沈采穎,Y,獨立,
